
===== run 'base' | device cuda | preset base =====
artifacts -> runs/base/  (train.log, metrics.jsonl, summary.json, samples.txt, figures/)
args: {"preset": "base", "run_name": "base", "checkpoint_dir": "checkpoints", "runs_dir": "runs", "batch_size": 96, "max_steps": 100000, "warmup_steps": 4000, "label_smoothing": 0.1, "dropout": 0.1, "grad_clip": 1.0, "max_len": 64, "vocab_size": 10000, "log_every": 50, "eval_every": 2000, "bleu_sentences": 1000, "num_workers": 2, "seed": 1337, "amp": true, "no_figures": false, "device": null, "resume": null}
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
data: online=True train=29000 val=1014 test=1000
vocab: 10000
model: 49,260,544 params | d_model=512 h=8 6+6
training to 100000 steps...

step   2650 | loss  3.504 | ppl    33.24 | lr 4.63e-04 | gnorm   1.38 |    17591 tok/s
step   2700 | loss  3.516 | ppl    33.65 | lr 4.72e-04 | gnorm   1.55 |    17375 tok/s
step   2750 | loss  3.475 | ppl    32.28 | lr 4.80e-04 | gnorm   1.46 |    16581 tok/s
step   2800 | loss  3.406 | ppl    30.15 | lr 4.89e-04 | gnorm   1.45 |    17285 tok/s
step   2850 | loss  3.417 | ppl    30.49 | lr 4.98e-04 | gnorm   1.57 |    17491 tok/s
step   2900 | loss  3.609 | ppl    36.95 | lr 5.07e-04 | gnorm   1.59 |    17471 tok/s
step   2950 | loss  3.575 | ppl    35.69 | lr 5.15e-04 | gnorm   1.60 |    17188 tok/s
step   3000 | loss  3.387 | ppl    29.59 | lr 5.24e-04 | gnorm   1.52 |    17614 tok/s
step   3050 | loss  3.495 | ppl    32.96 | lr 5.33e-04 | gnorm   1.56 |    16358 tok/s
step   3100 | loss  3.324 | ppl    27.77 | lr 5.42e-04 | gnorm   1.52 |    17520 tok/s
step   3150 | loss  3.394 | ppl    29.79 | lr 5.50e-04 | gnorm   1.85 |    17161 tok/s
step   3200 | loss  3.409 | ppl    30.23 | lr 5.59e-04 | gnorm   1.69 |    17378 tok/s
step   3250 | loss  3.450 | ppl    31.49 | lr 5.68e-04 | gnorm   1.56 |    17217 tok/s
step   3300 | loss  3.605 | ppl    36.80 | lr 5.76e-04 | gnorm   1.51 |    17490 tok/s
